<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURUSD;D;20010216;000000;0.9121000;0.9182000;0.9102000;0.9153000;0
EURUSD;D;20010217;000000;0.9152000;0.9167000;0.9133000;0.9153000;0
EURUSD;D;20010218;000000;0.9153000;0.9153000;0.9153000;0.9153000;0
EURUSD;D;20010219;000000;0.9153000;0.9241000;0.9122000;0.9221000;0
EURUSD;D;20010220;000000;0.9220000;0.9246000;0.9052000;0.9120000;0
EURUSD;D;20010221;000000;0.9121000;0.9188000;0.9056000;0.9097000;0
EURUSD;D;20010222;000000;0.9099000;0.9134000;0.9017000;0.9060000;0
EURUSD;D;20010223;000000;0.9061000;0.9212000;0.9026000;0.9175000;0
EURUSD;D;20010224;000000;0.9173000;0.9199000;0.9166000;0.9197000;0
EURUSD;D;20010226;000000;0.9172000;0.9192000;0.9078000;0.9122000;0
EURUSD;D;20010227;000000;0.9119000;0.9213000;0.9085000;0.9179000;0
EURUSD;D;20010228;000000;0.9180000;0.9262000;0.9160000;0.9239000;0
EURUSD;D;20010301;000000;0.9236000;0.9325000;0.9227000;0.9299000;0
EURUSD;D;20010302;000000;0.9298000;0.9385000;0.9287000;0.9355000;0
EURUSD;D;20010303;000000;0.9357000;0.9371000;0.9341000;0.9366000;0
EURUSD;D;20010305;000000;0.9339000;0.9359000;0.9284000;0.9305000;0
EURUSD;D;20010306;000000;0.9299000;0.9352000;0.9254000;0.9346000;0
EURUSD;D;20010307;000000;0.9349000;0.9377000;0.9322000;0.9340000;0
EURUSD;D;20010313;000000;0.9239000;0.9246000;0.9124000;0.9141000;0
EURUSD;D;20010314;000000;0.9141000;0.9216000;0.9076000;0.9110000;0
EURUSD;D;20010315;000000;0.9111000;0.9170000;0.8947000;0.8992000;0
EURUSD;D;20010316;000000;0.8993000;0.9003000;0.8910000;0.8962000;0
EURUSD;D;20010317;000000;0.8956000;0.8987000;0.8955000;0.8978000;0
EURUSD;D;20010319;000000;0.8967000;0.9024000;0.8930000;0.8984000;0
EURUSD;D;20010320;000000;0.8984000;0.9093000;0.8980000;0.9083000;0
EURUSD;D;20010321;000000;0.9082000;0.9132000;0.8928000;0.8959000;0
