<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,W,20010212,000000,0.9121000,0.9182000,0.9102000,0.9153000,0
EURUSD,W,20010219,000000,0.9153000,0.9246000,0.9017000,0.9197000,0
EURUSD,W,20010226,000000,0.9172000,0.9385000,0.9078000,0.9366000,0
EURUSD,W,20010305,000000,0.9339000,0.9377000,0.9254000,0.9340000,0
EURUSD,W,20010312,000000,0.9239000,0.9246000,0.8910000,0.8978000,0
EURUSD,W,20010319,000000,0.8967000,0.9132000,0.8830000,0.8885000,0
EURUSD,W,20010326,000000,0.8894000,0.8956000,0.8752000,0.8760000,0
EURUSD,W,20010402,000000,0.8764000,0.9096000,0.8749000,0.9005000,0
EURUSD,W,20010409,000000,0.9037000,0.9055000,0.8810000,0.8885000,0
EURUSD,W,20010416,000000,0.8887000,0.9054000,0.8699000,0.9031000,0
EURUSD,W,20010423,000000,0.9013000,0.9088000,0.8889000,0.8925000,0
EURUSD,W,20010430,000000,0.8931000,0.9014000,0.8894000,0.8931000,0
EURUSD,W,20010507,000000,0.8924000,0.8942000,0.8735000,0.8756000,0
EURUSD,W,20010514,000000,0.8759000,0.8884000,0.8728000,0.8820000,0
EURUSD,W,20010521,000000,0.8797000,0.8828000,0.8498000,0.8617000,0
EURUSD,W,20010528,000000,0.8600000,0.8617000,0.8433000,0.8483000,0
EURUSD,W,20010604,000000,0.8471000,0.8572000,0.8427000,0.8511000,0
EURUSD,W,20010611,000000,0.8498000,0.8677000,0.8413000,0.8618000,0
EURUSD,W,20010618,000000,0.8632000,0.8650000,0.8497000,0.8581000,0
EURUSD,W,20010625,000000,0.8570000,0.8658000,0.8433000,0.8499000,0
EURUSD,W,20010702,000000,0.8510000,0.8514000,0.8352000,0.8405000,0
EURUSD,W,20010709,000000,0.8496000,0.8648000,0.8447000,0.8550000,0
EURUSD,W,20010716,000000,0.8543000,0.8790000,0.8495000,0.8718000,0
EURUSD,W,20010723,000000,0.8708000,0.8826000,0.8649000,0.8781000,0
EURUSD,W,20010730,000000,0.8780000,0.8844000,0.8719000,0.8826000,0
EURUSD,W,20010806,000000,0.8811000,0.8955000,0.8736000,0.8923000,0
EURUSD,W,20010813,000000,0.8947000,0.9205000,0.8937000,0.9184000,0
EURUSD,W,20010820,000000,0.9179000,0.9210000,0.9073000,0.9143000,0
EURUSD,W,20010827,000000,0.9148000,0.9205000,0.9024000,0.9132000,0
EURUSD,W,20010903,000000,0.9092000,0.9109000,0.8822000,0.9081000,0
EURUSD,W,20010910,000000,0.9063000,0.9255000,0.8947000,0.9210000,0
EURUSD,W,20010917,000000,0.9234000,0.9337000,0.9087000,0.9149000,0
EURUSD,W,20010924,000000,0.9155000,0.9252000,0.9077000,0.9119000,0
EURUSD,W,20011001,000000,0.9118000,0.9240000,0.9057000,0.9182000,0
EURUSD,W,20011008,000000,0.9194000,0.9244000,0.8988000,0.9108000,0
EURUSD,W,20011015,000000,0.9118000,0.9137000,0.8962000,0.8993000,0
EURUSD,W,20011022,000000,0.8997000,0.9006000,0.8865000,0.8925000,0
EURUSD,W,20011029,000000,0.8972000,0.9124000,0.8967000,0.9035000,0
EURUSD,W,20011105,000000,0.9015000,0.9054000,0.8887000,0.8945000,0
EURUSD,W,20011112,000000,0.8938000,0.9019000,0.8770000,0.8845000,0
EURUSD,W,20011119,000000,0.8838000,0.8859000,0.8733000,0.8782000,0
EURUSD,W,20011126,000000,0.8782000,0.8983000,0.8772000,0.8963000,0
EURUSD,W,20011203,000000,0.8960000,0.8970000,0.8845000,0.8906000,0
EURUSD,W,20011210,000000,0.8893000,0.9057000,0.8838000,0.9037000,0
EURUSD,W,20011217,000000,0.9042000,0.9088000,0.8849000,0.8885000,0
EURUSD,W,20011224,000000,0.8884000,0.8911000,0.8740000,0.8852000,0
EURUSD,W,20011231,000000,0.8852000,0.9072000,0.8822000,0.8946000,0
EURUSD,W,20020107,000000,0.8948000,0.9003000,0.8882000,0.8912000,0
EURUSD,W,20020114,000000,0.8948000,0.8958000,0.8790000,0.8831000,0
EURUSD,W,20020121,000000,0.8857000,0.8882000,0.8626000,0.8653000,0
EURUSD,W,20020128,000000,0.8647000,0.8676000,0.8540000,0.8612000,0
EURUSD,W,20020204,000000,0.8731000,0.8744000,0.8714000,0.8732000,0
EURUSD,W,20020211,000000,0.8707000,0.8804000,0.8677000,0.8733000,0
EURUSD,W,20020218,000000,0.8735000,0.8789000,0.8660000,0.8757000,0
EURUSD,W,20020225,000000,0.8752000,0.8764000,0.8623000,0.8652000,0
EURUSD,W,20020304,000000,0.8654000,0.8817000,0.8629000,0.8795000,0
EURUSD,W,20020311,000000,0.8751000,0.8870000,0.8701000,0.8823000,0
EURUSD,W,20020318,000000,0.8802000,0.8866000,0.8747000,0.8759000,0
EURUSD,W,20020325,000000,0.8768000,0.8801000,0.8698000,0.8721000,0
EURUSD,W,20020401,000000,0.8717000,0.8863000,0.8709000,0.8790000,0
EURUSD,W,20020408,000000,0.8789000,0.8851000,0.8732000,0.8795000,0
EURUSD,W,20020415,000000,0.8818000,0.8926000,0.8784000,0.8892000,0
EURUSD,W,20020422,000000,0.8896000,0.9005000,0.8859000,0.8994000,0
EURUSD,W,20020429,000000,0.9018000,0.9048000,0.9001000,0.9009000,0
EURUSD,W,20020506,000000,0.9160000,0.9198000,0.9064000,0.9064000,0
EURUSD,W,20020513,000000,0.9149000,0.9228000,0.9009000,0.9213000,0
EURUSD,W,20020520,000000,0.9199000,0.9284000,0.9158000,0.9206000,0
EURUSD,W,20020527,000000,0.9204000,0.9410000,0.9180000,0.9310000,0
EURUSD,W,20020603,000000,0.9320000,0.9494000,0.9300000,0.9438000,0
