<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20191129,000000,234.6500000,235.1400000,231.9700000,233.9800000,27230330
SBER,D,20191202,000000,234.5900000,236.3700000,233.0000000,233.7700000,28186930
SBER,D,20191203,000000,233.2800000,234.0600000,230.1300000,230.6600000,26676820
SBER,D,20191204,000000,230.7200000,232.2400000,229.5000000,231.5900000,24285490
SBER,D,20191205,000000,231.8900000,232.1500000,229.0300000,231.7100000,23157550
SBER,D,20191206,000000,232.0000000,235.1400000,231.5500000,235.1400000,33265080
SBER,D,20191209,000000,235.4600000,237.5000000,234.3000000,237.0400000,31683450
SBER,D,20191210,000000,236.6000000,239.2900000,236.0000000,237.9100000,36059810
SBER,D,20191211,000000,237.8100000,241.2300000,237.7000000,240.3200000,44152540
SBER,D,20191212,000000,242.0100000,242.3000000,240.0900000,241.0500000,36011490
SBER,D,20191213,000000,242.0200000,243.2500000,241.1000000,241.2100000,33100880
SBER,D,20191216,000000,242.0200000,242.4800000,240.1300000,241.4500000,25489190
SBER,D,20191217,000000,241.8200000,242.9600000,241.0000000,241.6000000,33821980
SBER,D,20191218,000000,241.2100000,246.2500000,240.3600000,246.2000000,55754300
SBER,D,20191219,000000,246.2700000,248.4000000,243.1000000,244.0000000,59872840
SBER,D,20191220,000000,244.6000000,245.4000000,243.7200000,244.7100000,32926290
SBER,D,20191223,000000,244.7500000,249.1900000,244.0700000,248.8000000,23950490
SBER,D,20191224,000000,248.8000000,249.8900000,247.2700000,248.6700000,21016800
SBER,D,20191225,000000,248.9800000,249.3000000,247.1100000,248.0400000,7910360
SBER,D,20191226,000000,248.2000000,249.2400000,246.7100000,248.2400000,12979620
SBER,D,20191227,000000,248.5600000,252.9500000,248.5500000,252.0600000,31907600
SBER,D,20191230,000000,252.0900000,256.0000000,250.7300000,254.7500000,43131930
SBER,D,20200103,000000,255.9700000,258.1900000,253.7000000,255.0000000,35824160
SBER,D,20200106,000000,254.7500000,254.8400000,251.4000000,253.9000000,22327940
SBER,D,20200108,000000,253.6200000,259.1500000,253.0300000,259.1500000,40736030
SBER,D,20200109,000000,259.4100000,261.7600000,257.0100000,257.9900000,38196300
SBER,D,20200110,000000,257.9100000,259.2500000,256.8800000,258.1900000,18841650
SBER,D,20200113,000000,258.2100000,262.4000000,257.1500000,262.4000000,25849900
SBER,D,20200114,000000,262.5800000,263.2200000,258.6200000,259.0500000,31097130
SBER,D,20200115,000000,258.4500000,258.9100000,254.2100000,256.3100000,49328500
SBER,D,20200116,000000,257.1100000,259.5100000,256.1000000,257.5100000,40225420
SBER,D,20200117,000000,258.2000000,262.8200000,257.7500000,262.5000000,44891340
SBER,D,20200120,000000,263.2200000,266.9700000,261.8000000,266.2800000,29749210
SBER,D,20200121,000000,265.4700000,268.9000000,263.0200000,268.0600000,37927820
SBER,D,20200122,000000,268.6300000,270.8000000,265.5000000,266.5400000,44170920
SBER,D,20200123,000000,264.9000000,266.8900000,262.2400000,263.7300000,40484270
SBER,D,20200124,000000,264.5300000,267.5000000,264.2100000,265.4900000,27246250
SBER,D,20200127,000000,260.9900000,262.1000000,255.3200000,255.3200000,56011660
SBER,D,20200128,000000,257.0500000,258.8400000,254.1000000,257.7000000,47921360
SBER,D,20200129,000000,258.4000000,261.5700000,257.6100000,259.9400000,34921040
SBER,D,20200130,000000,257.9700000,258.6900000,255.2700000,257.3100000,31552340
SBER,D,20200131,000000,258.5000000,259.2000000,252.1700000,252.2000000,47800190
SBER,D,20200203,000000,251.8000000,254.9600000,251.1000000,253.9900000,52621110
SBER,D,20200204,000000,255.3300000,257.3800000,252.9000000,255.4000000,49731290
SBER,D,20200205,000000,255.8900000,257.6600000,253.1400000,255.2000000,50719760
SBER,D,20200206,000000,256.6600000,258.0000000,251.8600000,252.1100000,43319020
SBER,D,20200207,000000,253.1300000,254.3000000,248.7300000,254.3000000,50059840
SBER,D,20200210,000000,254.5500000,255.7300000,252.0700000,252.2600000,34935840
SBER,D,20200211,000000,253.7800000,259.7700000,253.0000000,254.5000000,79392360
SBER,D,20200212,000000,255.4000000,255.4900000,252.3100000,254.5000000,52447350
SBER,D,20200213,000000,253.6200000,255.1800000,252.5000000,253.8900000,36654420
SBER,D,20200214,000000,254.3800000,254.3800000,251.4000000,251.7500000,29982140
SBER,D,20200217,000000,252.5000000,253.1000000,250.1300000,251.3600000,26370580
SBER,D,20200218,000000,250.0800000,250.4400000,247.5700000,249.2000000,36259430
SBER,D,20200219,000000,250.3700000,250.6800000,247.9500000,249.7000000,25740870
SBER,D,20200220,000000,250.0700000,252.1700000,249.1300000,250.1500000,30707880
SBER,D,20200221,000000,248.4200000,251.4900000,247.2400000,250.8000000,27682840
SBER,D,20200225,000000,247.9800000,248.8300000,245.1700000,245.1900000,40505070
SBER,D,20200226,000000,244.7500000,251.2100000,243.2200000,250.8000000,67529090
SBER,D,20200227,000000,247.5000000,248.9800000,242.0000000,242.8800000,57887670
SBER,D,20200228,000000,234.9600000,239.0000000,231.0000000,233.3600000,123187610
SBER,D,20200302,000000,238.5500000,241.0000000,218.8600000,228.1700000,101688550
SBER,D,20200303,000000,233.0000000,239.0000000,232.2800000,236.6300000,83491100
SBER,D,20200304,000000,234.1300000,236.7000000,232.6200000,235.2700000,54165550
SBER,D,20200305,000000,237.0300000,238.7200000,230.6400000,232.3300000,56972700
SBER,D,20200306,000000,227.9900000,229.2000000,216.6700000,219.9900000,103932680
SBER,D,20200310,000000,197.9900000,212.7400000,184.8600000,201.2000000,243308680
SBER,D,20200311,000000,202.2000000,204.3300000,192.0500000,194.5300000,137765860
SBER,D,20200312,000000,185.1700000,187.8700000,173.1400000,175.9100000,197162330
SBER,D,20200313,000000,175.0000000,199.5200000,174.3000000,198.6000000,262618120
SBER,D,20200316,000000,194.0000000,196.7000000,186.0000000,195.8500000,173656160
SBER,D,20200317,000000,194.9200000,204.7800000,183.8000000,184.0100000,183602360
SBER,D,20200318,000000,178.9500000,182.2000000,172.1500000,174.2700000,154736970
SBER,D,20200319,000000,178.5000000,190.1500000,173.0600000,189.5100000,187222370
SBER,D,20200320,000000,198.6200000,201.8600000,192.0500000,195.6900000,170124950
SBER,D,20200323,000000,188.0000000,190.9900000,182.1000000,183.3700000,157690770
SBER,D,20200324,000000,193.3000000,195.0000000,189.1000000,192.6400000,104281150
SBER,D,20200325,000000,196.3700000,201.0000000,182.3200000,188.0800000,187724830
SBER,D,20200326,000000,187.6900000,191.2000000,182.8000000,188.0700000,111338470
SBER,D,20200327,000000,188.0500000,188.9700000,180.1700000,180.3800000,114106500
SBER,D,20200330,000000,177.0300000,183.2000000,174.9000000,183.0000000,93995170
SBER,D,20200331,000000,186.0000000,188.7700000,184.2500000,187.2100000,113605840
SBER,D,20200401,000000,183.2000000,185.4700000,182.0000000,184.7800000,76453050
SBER,D,20200402,000000,188.3400000,189.9000000,182.0000000,186.9500000,125289380
SBER,D,20200403,000000,186.6000000,187.4900000,184.2800000,185.6400000,92726520
SBER,D,20200406,000000,187.5200000,192.0200000,186.4200000,190.7000000,77520920
SBER,D,20200407,000000,193.1000000,200.5400000,193.0600000,197.6300000,136262480
SBER,D,20200408,000000,196.2000000,200.2900000,195.1200000,200.2900000,89695510
SBER,D,20200409,000000,202.4000000,205.4400000,199.3000000,203.6100000,109748080
SBER,D,20200410,000000,201.8500000,202.7500000,200.7000000,201.9900000,28658630
SBER,D,20200413,000000,201.9900000,202.1600000,197.3200000,198.2600000,41196340
SBER,D,20200414,000000,199.9900000,202.8500000,196.1000000,197.3700000,80132500
SBER,D,20200415,000000,196.0000000,196.2500000,186.0600000,186.0700000,97979270
SBER,D,20200416,000000,187.2200000,191.6700000,183.5300000,188.5000000,109069050
SBER,D,20200417,000000,192.5000000,192.7000000,188.2800000,191.8000000,71522530
SBER,D,20200420,000000,190.6000000,192.2300000,187.3100000,189.3200000,62162030
SBER,D,20200421,000000,185.5400000,187.5000000,183.6500000,186.0500000,94053840
SBER,D,20200422,000000,185.0500000,191.9400000,184.5000000,190.2000000,75194080
SBER,D,20200423,000000,192.0000000,192.5000000,188.6800000,190.9400000,62581600
SBER,D,20200424,000000,189.7300000,191.6500000,187.7000000,188.9100000,55252250
SBER,D,20200427,000000,189.9500000,190.5000000,188.4300000,188.9000000,43627150
SBER,D,20200428,000000,188.5500000,194.2200000,188.1700000,192.8000000,78555750
SBER,D,20200429,000000,194.3600000,195.8000000,192.8600000,195.8000000,69766160
SBER,D,20200430,000000,196.5200000,199.7000000,195.4600000,197.2500000,87028430
